LastUsedTimeStop	Access	Capability	AppIdentifier	AppName	UserSID
2025-04-19 16:38:30	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 16:38:30	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 16:38:30	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 16:42:15	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 16:58:42	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:19:06	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:12	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:13	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:14	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:14	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:14	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:14	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Emergency calling (if available) and regional call compliance	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:26	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 17:30:27	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
