Last_used_start	Last_used_stop	AccessBlocked	Capability	PackageName	AppName	UserSID	Label	ID
2025-04-19 23:46:32	2025-04-19 23:46:32	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	805
2025-04-20 00:14:00	2025-04-20 00:14:00	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	806
2025-04-20 00:33:53	2025-04-20 00:33:53	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	807
2025-04-20 00:59:18	2025-04-20 00:59:18	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	808
2025-04-20 01:18:20	2025-04-20 01:18:20	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	809
2025-04-20 01:33:52	2025-04-20 01:33:52	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	810
2025-04-20 01:54:57	2025-04-20 01:54:57	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	811
2025-04-20 02:19:05	2025-04-20 02:19:05	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	812
2025-04-20 12:20:31	2025-04-20 12:20:31	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	813
2025-04-20 12:29:20	2025-04-20 12:29:20	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	814
2025-04-20 12:40:44	2025-04-20 12:40:44	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	815
2025-04-20 13:02:03	2025-04-20 13:02:03	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	816
2025-04-20 14:52:41	2025-04-20 14:52:41	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	817
2025-04-20 15:12:03	2025-04-20 15:12:03	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	818
2025-04-20 15:32:18	2025-04-20 15:32:18	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	819
2025-04-20 15:59:19	2025-04-20 15:59:19	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	820
2025-04-20 16:17:18	2025-04-20 16:17:18	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	821
2025-04-20 16:32:19	2025-04-20 16:32:19	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	822
2025-04-20 17:04:04	2025-04-20 17:04:04	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	823
2025-04-20 17:13:07	2025-04-20 17:13:07	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	824
2025-04-20 17:15:20	2025-04-20 17:15:20	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	825
2025-04-20 17:15:43	2025-04-20 17:15:43	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	826
2025-04-20 17:16:01	2025-04-20 17:16:01	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	827
2025-04-20 17:30:24	2025-04-20 17:30:24	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	828
2025-04-20 17:32:04	2025-04-20 17:32:04	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	829
2025-04-20 17:59:18	2025-04-20 17:59:18	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	830
2025-04-20 18:33:18	2025-04-20 18:33:18	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	831
2025-04-20 18:56:04	2025-04-20 18:56:04	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	832
2025-04-20 19:11:31	2025-04-20 19:11:31	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	833
2025-04-20 20:17:56	2025-04-20 20:17:56	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	834
